iter	MultiClass
217	0.9939962989
218	0.9937670965
219	0.9936194423
220	0.9934118031
221	0.9932049444
222	0.9930544744
223	0.9928963165
224	0.9926945652
225	0.9924952124
226	0.9923369305
227	0.9921336246
228	0.9919511345
229	0.9918208099
230	0.9916547212
231	0.9915360514
232	0.991403113
233	0.9912434254
234	0.9910829776
235	0.9909481297
236	0.9908232324
237	0.990660229
238	0.9905035986
239	0.9903333224
240	0.9901915715
241	0.9900812414
242	0.9899167779
243	0.9897472637
244	0.9895839441
245	0.9894402242
246	0.9892982784
247	0.9891188852
248	0.9889183288
249	0.9887757332
250	0.9886212658
251	0.9884825091
252	0.9883284624
253	0.9881781649
254	0.9880619707
255	0.9879154258
256	0.9878088989
257	0.987698536
258	0.9875792462
259	0.9874217662
260	0.9872970426
261	0.9871954243
262	0.9870536233
263	0.9869268783
264	0.9868067514
265	0.9866530541
266	0.986515502
267	0.9863634919
268	0.9862617444
269	0.9861205578
270	0.9860083644
271	0.9858950486
272	0.9857636227
273	0.9856475178
274	0.9855022652
275	0.9853529764
276	0.9852253963
277	0.9851098261
278	0.9849965507
279	0.984879937
280	0.9847590917
281	0.9846580626
282	0.9845653461
283	0.9844528687
284	0.9843417306
285	0.9842191427
286	0.9840747572
287	0.9839654277
288	0.9838572996
289	0.9837428453
290	0.9836365548
291	0.9834877409
292	0.9833887071
293	0.9832656068
294	0.9831513399
295	0.9829989566
296	0.9828775167
297	0.9827714858
298	0.982660439
299	0.9825314461
300	0.9824202007
301	0.982326735
302	0.9821887267
303	0.982071064
304	0.9819655941
305	0.9818539889
306	0.9817587775
307	0.9816331758
308	0.9815510365
309	0.9814371412
310	0.9813481648
311	0.9812433449
312	0.9811388543
313	0.9810503813
314	0.9809411159
315	0.980827891
316	0.980730898
317	0.9806556463
318	0.9805876332
319	0.9804950733
320	0.9804170496
321	0.9803137377
322	0.980182714
323	0.9800932335
324	0.9800125216
325	0.9799289253
326	0.9798438232
327	0.979761536
328	0.9796802537
329	0.979602327
330	0.9795004712
331	0.9794225445
332	0.9793254491
333	0.9792789151
334	0.9791911185
335	0.9791089826
336	0.9790253854
337	0.9789321078
338	0.9788409939
339	0.9787700519
340	0.9787075494
341	0.9786206839
342	0.9785346646
343	0.9784492176
344	0.9783830123
345	0.9783143471
346	0.9782201244
347	0.9781291558
348	0.9780402646
349	0.9779526978
350	0.9778632861
351	0.97779341
352	0.9777094819
353	0.9776407307
354	0.9775615792
355	0.9774783797
356	0.9773714719
357	0.9772927774
358	0.9772183208
359	0.9771382557
360	0.9770589139
361	0.9769797667
362	0.9769245994
363	0.9768572451
364	0.9768001615
365	0.9767378917
366	0.9766683101
367	0.9765823069
368	0.9765182241
369	0.9764487061
370	0.9763710911
371	0.9763318669
372	0.9762672723
373	0.976194529
374	0.9761267178
375	0.9760605841
376	0.9759790471
377	0.9759199605
378	0.9758623792
379	0.9758133178
380	0.9757598786
381	0.9756971565
382	0.9756521078
383	0.9755919044
384	0.9755381201
385	0.9754761806
386	0.9754172877
387	0.9753542046
388	0.9752935893
389	0.9752382115
390	0.9751885552
391	0.975145646
392	0.9750755664
393	0.9750339708
394	0.9749644211
395	0.9749109681
396	0.9748505991
397	0.9747974593
398	0.9747206739
399	0.9746713495
400	0.9746094124
401	0.9745324484
402	0.9744689474
403	0.9744095653
404	0.9743507254
405	0.9742954007
406	0.9742359202
407	0.9741569646
408	0.974071333
409	0.9740161718
410	0.97397819
411	0.9739408801
412	0.9738788375
413	0.9738198203
414	0.9737587603
415	0.9736941686
416	0.973637494
417	0.9735889185
418	0.9735483446
419	0.9734668092
420	0.9733797287
421	0.9733541028
422	0.9732899602
423	0.9732204629
424	0.9731826949
425	0.973149564
426	0.9731090765
427	0.9730522338
428	0.9730112618
429	0.972964248
430	0.9729211121
431	0.9728826878
432	0.9728191413
433	0.9727643365
434	0.9727069989
435	0.97265402
436	0.9725687272
437	0.9725206679
438	0.972471195
439	0.9723825788
440	0.9723486228
441	0.9722966787
442	0.9722582387
443	0.9721910301
444	0.9721466482
445	0.9720906804
446	0.9720454794
447	0.9719894917
448	0.9719384898
449	0.971882863
450	0.9718451963
451	0.971799247
452	0.9717587912
453	0.9717058949
454	0.9716573216
455	0.9716131972
456	0.9715658754
457	0.9715202994
458	0.9714689923
459	0.9713992523
460	0.9713541123
461	0.9713143965
462	0.9712695904
463	0.9712157887
464	0.9711907198
465	0.9711483146
466	0.9710992381
467	0.9710488624
468	0.9709889724
469	0.9709407658
470	0.9708694248
471	0.9708249958
472	0.9707759345
473	0.9707107895
474	0.9706537977
475	0.9706268148
476	0.9705882589
477	0.9705463687
478	0.9705154631
479	0.9704888982
480	0.9704586424
481	0.9704206094
482	0.9703882116
483	0.9703358237
484	0.9702810559
485	0.9702200681
486	0.9701835253
487	0.9701369952
488	0.9700936913
489	0.9700501615
490	0.970004346
491	0.9699038988
492	0.9698647505
493	0.9698311829
494	0.9697767401
495	0.969734879
496	0.9696898477
497	0.9696425789
498	0.9696108433
499	0.9695701169
500	0.9695277907
501	0.9694536104
502	0.9694182517
503	0.9693746642
504	0.9693296108
505	0.9692877503
506	0.9692486526
507	0.9692133752
508	0.9691843742
509	0.9691420749
510	0.9691132808
511	0.9690593153
512	0.9690208696
513	0.9689582048
514	0.9688905882
515	0.9688461965
516	0.968807203
517	0.9687677454
518	0.9687247401
519	0.9686864937
520	0.9686221875
521	0.9685929502
522	0.9685767262
523	0.9685253351
524	0.9684776728
525	0.9684341234
526	0.9683941613
527	0.9683511741
528	0.9683194005
529	0.9682855808
530	0.9682521112
531	0.9682249209
532	0.9682013192
533	0.9681678779
534	0.9681352873
535	0.9681127413
536	0.9680871688
537	0.9680441985
538	0.9680072388
539	0.9679725359
540	0.9679099585
541	0.9678822897
542	0.9678430145
543	0.9678141049
544	0.9677734806
545	0.9677213334
546	0.967691319
547	0.967643603
548	0.9676024438
549	0.9675685364
550	0.9675433606
551	0.9675155174
552	0.9674871711
553	0.9674523277
554	0.96742915
555	0.9673934212
556	0.9673397126
557	0.9673076079
558	0.9672783622
559	0.9672361228
560	0.9672190012
561	0.9671930905
562	0.9671648618
563	0.9671382903
564	0.9670918355
565	0.9670472938
566	0.9670204141
567	0.9669837122
568	0.9669496823
569	0.9669007223
570	0.9668715602
571	0.9668468821
572	0.9668110098
573	0.9667841081
574	0.9667478083
575	0.9667166286
576	0.9666730351
577	0.966617003
578	0.9665959153
579	0.9665679916
580	0.9665377457
581	0.966507615
582	0.9664701075
583	0.9664437623
584	0.9664165069
585	0.9663928461
586	0.9663633957
587	0.9663437924
588	0.9663097246
589	0.9662844428
590	0.966251071
591	0.9662054767
592	0.9661571953
593	0.9661222791
594	0.9660863576
595	0.9660655666
596	0.9660344503
597	0.9660154803
598	0.9659676545
599	0.9659386281
600	0.9659110568
601	0.9658958332
602	0.9658709722
603	0.9658534437
604	0.9658186108
605	0.9657902433
606	0.9657639216
607	0.9657378371
608	0.965707081
609	0.9656777515
610	0.9656561215
611	0.96562175
612	0.9656090008
613	0.9655709556
614	0.9655492472
615	0.9655305577
616	0.9655130042
617	0.9654807028
618	0.9654585229
619	0.9654366939
620	0.9654079375
621	0.9653786245
622	0.9653506409
623	0.9653060042
624	0.9652769473
625	0.9652472133
626	0.9652211458
627	0.9651867651
628	0.965148741
629	0.9651296741
630	0.9651100926
631	0.9650921777
632	0.9650677677
633	0.9650331875
634	0.9650004813
635	0.9649703292
636	0.9649516251
637	0.964920916
638	0.9648984838
639	0.9648569662
640	0.9648201197
641	0.9647982107
642	0.9647820239
643	0.9647460719
644	0.9647242548
645	0.9647022532
646	0.9646704305
647	0.9646498405
648	0.9646135986
649	0.9645836659
650	0.9645612526
651	0.9645179143
652	0.9645007132
653	0.964482719
654	0.9644530236
655	0.96442722
656	0.9643944044
657	0.9643711034
658	0.9643448171
659	0.9642993586
660	0.9642695206
661	0.9642447888
662	0.9642250904
663	0.9642127382
664	0.9641805663
665	0.9641546568
666	0.9641120294
667	0.9640873016
668	0.9640733156
669	0.9640392512
670	0.9640039562
671	0.9639600703
672	0.9639151437
673	0.963883059
674	0.9638556169
675	0.9638336003
676	0.9638108504
677	0.9637962446
678	0.9637789862
679	0.9637547234
680	0.9637368729
681	0.9637108977
682	0.9636711419
683	0.9636496576
684	0.9636209875
685	0.9636046929
686	0.9635776426
687	0.9635585168
688	0.9635310925
689	0.9635155619
690	0.9634826057
691	0.9634613972
692	0.963443338
693	0.9634049081
694	0.963368306
695	0.9633448374
696	0.9633204407
697	0.9632897244
698	0.9632732453
699	0.9632457096
700	0.9632155429
701	0.9632053599
702	0.9631813178
703	0.9631577034
704	0.9631332653
705	0.9631176096
706	0.9630980709
707	0.9630818217
708	0.9630696946
709	0.9630566267
710	0.9630288855
711	0.9630129943
712	0.9629983417
713	0.9629680954
714	0.9629440282
715	0.9629296685
716	0.9629099419
717	0.9628924599
718	0.9628777754
719	0.9628625964
720	0.962849594
721	0.9628264172
722	0.96280127
723	0.9627341747
724	0.9627108624
725	0.96268252
726	0.962659227
727	0.9626363202
728	0.9626179628
729	0.9625974518
730	0.9625742623
731	0.9625438978
732	0.9625237433
733	0.9625017748
734	0.9624748157
735	0.9624529526
736	0.9624257117
737	0.9623918866
738	0.9623710651
739	0.9623512521
740	0.9623228122
741	0.962287448
742	0.9622699023
743	0.9622458083
744	0.9622176608
745	0.9622041825
746	0.962178951
747	0.9621414245
748	0.962104092
749	0.9620778012
750	0.9620666356
751	0.9620462965
752	0.9620277298
753	0.9620099915
754	0.9619968961
755	0.9619585266
756	0.9619474334
757	0.9619318655
758	0.961913522
759	0.9618916384
760	0.9618570209
761	0.9618386388
762	0.9618145361
763	0.9617832839
764	0.9617500778
765	0.9617174559
766	0.9617004778
767	0.9616829289
768	0.9616640253
769	0.9616346655
770	0.9616089423
771	0.9616025272
772	0.9615811321
773	0.9615579147
774	0.9615238397
775	0.9614989947
776	0.9614762482
777	0.961455231
778	0.961426657
779	0.961415069
780	0.961382871
781	0.9613644374
